timestamp,child_id,trial_no,image_id,image_path,kid_response,ground_truth_captions,best_similarity_0to1,response_time_sec,processing_latency_ms,method,running_avg_similarity,running_avg_time
2026-01-13 02:24:20,child_001,1,61418,/content/coco/val2017/000000061418.jpg,a black and white image of kids playing,Several children attentively play a game of curling together. || Several children playing a game together outside with boats in the background. || Young children playing game on wooden deck surface. || a couple of kids playing a game of checkers. || some kids playing with some large checkerboards painted on the ground,0.794806,17.8445,276.758,sbert,0.794806,17.844501
2026-01-13 02:24:43,child_001,2,4795,/content/coco/val2017/000000004795.jpg,cat working on a computer,"A cat observing a computer screen next to a laptop and a cordless phone. || A cat is sitting and watching a computer screen. || A cat sitting in front of a computer monitor. || A cat ""reading"" the text on a computer screen || Gray cat looking at electronic monitor next to phone.",0.863919,10.7245,57.158,sbert,0.829362,14.284492
2026-01-13 02:25:01,child_001,3,513283,/content/coco/val2017/000000513283.jpg,pizza with a toy on plate,A small toy sits on a plate with pizza and crusts. || A small bunny character is on a plate of pizza. || this is an image of a plate of pizza with a toy bunny. || A little funny rabbit figure is sitting in the middle of half eaten pizza. || A small toy is sitting on a plate of pizza.,0.931066,14.0408,60.846,sbert,0.863264,14.203260
2026-01-13 02:25:28,child_001,4,405195,/content/coco/val2017/000000405195.jpg,planets in universe,This a case full of doughnuts and cinnamon buns. || A very nice looking display full of pastry items. || A display of a variety of donuts at a store. || Three shelves of assorted donuts in a bakery. || A bakery that has several different kinds of doughnuts.,0.578587,24.7623,46.797,sbert,0.792095,16.843021
2026-01-13 02:25:43,child_001,5,250282,/content/coco/val2017/000000250282.jpg,food court,A group of young children sitting next to each other. || The large group of children are outside posing for a photo. || A group of children pose for a class picture. || A group of school children posing for a picture. || A picture of a lot of girls and boys in front of a building.,0.555932,12.0745,94.591,sbert,0.744862,15.889314
2026-01-13 02:25:56,child_001,6,455085,/content/coco/val2017/000000455085.jpg,train and bus running together,The side of a bus parked on the side of a street. || An angle view of city bus near a side walk. || A bus is driving outside at dusk time. || A bus stopped on the side of the road. || A large long bus going down a city street.,0.770549,10.5093,80.478,sbert,0.749143,14.992639
2026-01-13 02:26:21,child_001,7,202339,/content/coco/val2017/000000202339.jpg,man telling something,A man carrying a sign walking past buses. || A man holding a sign next to parked city buses. || A man in an airport is carrying a sign. || A man at a bus station holding up a sign. || A man walking with a sign next to a row of buses.,0.706635,21.2313,47.441,sbert,0.743071,15.883877
2026-01-13 02:26:31,child_001,8,206994,/content/coco/val2017/000000206994.jpg,train running near foest,Single train parked at a train station on a clear day. || A train is near an empty outdoor station. || there is a yellow and red train at a train stop || A yellow an red colored train that is approaching a pickup/drop off point. || A yellow and red train riding into a station.,0.776697,8.6646,80.447,sbert,0.747274,14.981466
2026-01-13 02:26:57,child_001,9,449579,/content/coco/val2017/000000449579.jpg,someone playing baseball,Woman in red shirt holding up a tennis racket on a court. || A strong woman is playing tennis on a court. || Woman in red shirt getting ready to hit tennis ball. || A women who is about to swing at the ball while playing tennis. || A woman holding a tennis racquet on a tennis court.,0.756768,24.6819,52.480,sbert,0.748329,16.059288
2026-01-13 02:27:19,child_001,10,289393,/content/coco/val2017/000000289393.jpg,"cow, giraffe, deer and parrot","Set of toy animals sitting in front of a red wooden wagon. || Several toy animals - a bull, giraffe, deer and parakeet. || Some toy animals on the ground near a picture || Children's toy animals are strewn across a floor. || A display of vintage animal toys on the floor.",0.876595,19.7630,59.031,sbert,0.761155,16.429663
2026-01-13 02:27:33,child_001,11,78748,/content/coco/val2017/000000078748.jpg,motorcycles with crowd,"A group of motorcycles on display for a crowd. || A couple of motorcycles in front of sign, with people standing around. || A gathering of people and several motor bikes. || Crowd standing outside of a bike show event. || Large group of people outdoors with their motorcycles.",0.933193,10.8128,52.995,sbert,0.776795,15.919043
2026-01-13 02:27:42,child_001,12,459153,/content/coco/val2017/000000459153.jpg,birds on tree,A young male sitting on a park bench typing on a laptop. || The man is sitting on the park bench using his laptop. || A young man on a wooden bench using a laptop. || a person operating a laptop on a bench || A man uses his computer on a park bench.,0.502133,6.8412,50.997,sbert,0.753907,15.162552
2026-01-13 02:27:59,child_001,13,292082,/content/coco/val2017/000000292082.jpg,kids playing with pets,an old photo of a little girl sitting on her dads lap || A man with a little girl sitting on his lap. || A smiling man and a very cute small girl sitting together. || A little girl sitting on a man's lap in an old photograph. || A man and child pose for a picture together,0.559295,13.5548,51.504,sbert,0.738937,15.038882
2026-01-13 02:28:12,child_001,14,578545,/content/coco/val2017/000000578545.jpg,lady reading newspaper,A pregnant woman laying in bed reading a book. || A pregnant woman in bed reading a book || A pregnant woman is in bed reading a large book. || A pregnant woman laying in bed reading a book || a pregnant woman laying in bed reading a book,0.721931,11.7107,43.687,sbert,0.737722,14.801156
2026-01-13 02:28:31,child_001,15,459195,/content/coco/val2017/000000459195.jpg,three friends on a hike,A group of people that are sitting on a log. || The group of three friends are sitting on a fallen tree in the woods. || The young adults rest while playing Frisbee golf. || Three people sitting on a bench in the woods. || Three friends sitting on a log making signing hand gestures.,0.743205,12.1545,50.673,sbert,0.738087,14.624715
2026-01-13 02:28:42,child_001,16,89880,/content/coco/val2017/000000089880.jpg,two dogs playing,Two dogs are playing together on the grass || A couple of days playing with each other on a green grass covered field. || Two puppies playing in the green grass of their yard. || A brindle and a grey and white dog playing on grass || Two dogs playing with each other in the grass.,0.904723,9.1866,53.092,sbert,0.748502,14.284832
2026-01-13 02:28:53,child_001,17,476704,/content/coco/val2017/000000476704.jpg,bus on bis stop,A bus on the street next to the lamp post. || A city bus stopped at stop waiting for passengers. || A city bus 18 parked in a red zone. || A bike on lamppost next to a red and white bus. || A bus parked on the side of the road next to a bike.,0.785540,8.2196,75.537,sbert,0.750681,13.928056
2026-01-13 02:29:18,child_001,18,479596,/content/coco/val2017/000000479596.jpg,fruits and vegetables,"a bunch of fruit sit on sale for the public || Several baskets of different color types of fruits. || A large variety of fruits displayed for sale in a store. || a shelf with a lot of assorted colorful fruit for sale || Fruits sit in containers, ready for sale in a store.",0.805722,22.1951,51.786,sbert,0.753739,14.387338
2026-01-13 02:29:26,child_001,19,184762,/content/coco/val2017/000000184762.jpg,clock,A gold clock with ornate iron hands keeps time on a large clock with roman numerals. || A close up of the clock face of a grandfather clock. || a close up of an analog clock with roman numerals || The clock inside the house has a large face. || a large wall clock with an upscale design and roman numerals,0.824870,4.3727,118.618,sbert,0.757483,13.860251
2026-01-13 02:29:45,child_001,20,187734,/content/coco/val2017/000000187734.jpg,crowd in a playground,some people holding wii tennis motes as they look at a screen || Man and women gather around to play a video game. || The people are playing tennis inside together at the event. || A group of young people standing next to each other. || The people was looking at the balls and chair,0.675643,16.4248,61.240,sbert,0.753391,13.988477
